Label,Precision,Recall,F1,MCC
del_ms,90.49,98.2,94.11,93.83
con_ms,72.26,73.76,72.61,70.96
so_ms,84.53,87.38,85.16,84.21
del_nca,93.35,90.31,91.77,91.08
con_nca,89.71,93.4,91.4,90.86
so_nca,79.47,77.27,78.07,76.8
agenda,90.36,88.46,89.38,88.37
del_com,93.83,95.15,94.47,94.07
si_com,90.28,91.44,90.6,90.12
con_com,84.19,87.2,85.26,84.63
del_age,95.66,96.72,96.17,95.75
si_age,96.39,96.58,96.41,96.09
con_age,94.27,92.93,93.51,93.15
