Label,Precision,Recall,F-score
Overall,0.8990384615384616,0.9444444444444444,0.9211822660098522
ACTIVE_CONSTRAINT,0.9545454545454546,0.9545454545454546,0.9545454545454546
PERMISSION,0.7931034482758621,0.9583333333333334,0.8679245283018867
CONSTRAINT,0.7659574468085106,0.9230769230769231,0.8372093023255814
DELEGATION,0.8405797101449275,0.9830508474576272,0.9062499999999999
SOFT_IMPL,0.896551724137931,0.8125,0.8524590163934426
