Label,Precision,Recall,F1,MCC
del_ms,90.24,92.45,91.09,90.65
con_ms,70.92,71.27,69.8,68.5
so_ms,80.98,81.87,80.85,79.37
del_nca,91.12,89.59,90.23,89.43
con_nca,87.83,90.14,88.76,88.08
so_nca,82.43,66.92,73.55,72.59
agenda,90.92,85.26,87.99,86.9
del_com,95.63,92.73,94.1,93.74
si_com,92.37,87.6,89.7,89.21
con_com,79.37,86.36,81.72,81.26
del_age,95.59,96.81,96.13,95.73
si_age,98.56,95.65,97.05,96.79
con_age,93.24,93.32,93.24,92.82
