Label,Precision,Recall,F1,MCC
del_ms,89.33,95.62,92.26,91.84
con_ms,71.23,67.16,68.74,66.95
so_ms,79.37,84.04,80.73,79.42
del_nca,92.75,90.65,91.67,90.94
con_nca,88.38,90.09,88.8,88.26
so_nca,77.77,70.15,73.27,71.97
agenda,89.72,87.6,88.6,87.52
del_com,94.53,94.48,94.5,94.11
si_com,90.03,94.03,91.89,91.42
con_com,80.56,83.39,80.88,80.39
del_age,95.26,94.27,94.73,94.18
si_age,98.04,96.68,97.32,97.07
con_age,95.04,95.68,95.34,95.05
